naslov,avtor,ocena,score,glasovalci

The Tainted Trust,Stephen Douglass,4.65,494.0,5

"Goals, Obstacles And Gratitude",Justin Ho,5.0,494.0,5

Trust: Pandora's Box,Cristiane Serruya,3.94,490.0,5

Madame de Stäel,Maria Fairweather,4.19,488.0,5

10% Everything,Justin Ho,5.0,488.0,5

Love Walked In,Marisa de los Santos,3.71,487.0,6

Gone for Good,Harlan Coben,4.1,486.0,6

Secret Deceptions,James Sillwood,4.47,486.0,5

Accelerando,Charles Stross,3.88,484.0,6

Tiger's Curse,Colleen Houck,4.06,484.0,6

Arthur &amp; George,Julian Barnes,3.7,484.0,7

Remainder,Tom McCarthy,3.65,483.0,5

Shit my History Teacher DID NOT tell me!,Karl Wiggins,4.08,482.0,5

Pompeii,Robert   Harris,3.82,482.0,6

Self-Improvement And Success,Justin Ho,5.0,482.0,5

The Blade Itself,Joe Abercrombie,4.16,481.0,6

John Dies at the End,David  Wong,3.9,481.0,6

Train Dreams,Denis Johnson,3.83,479.0,5

"Saga, Vol. 1",Brian K. Vaughan,4.2,479.0,6

The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,3.76,477.0,6

The Dark Side: The Inside Story of How the War on Terror Turned Into a War on American Ideals,Jane Mayer,4.18,476.0,6

Life Amplifiers Daily Devotional,Justin Ho,5.0,476.0,5

Paranormalcy,Kiersten White,3.9,475.0,6

Faefever,Karen Marie Moning,4.32,474.0,7

The Time of Our Singing,Richard Powers,4.25,474.0,5

"Dream Big, Live Bigger",Justin Ho,5.0,474.0,5

The Witch's Trinity,Erika Mailman,3.57,473.0,5

A Free Life,Ha Jin,3.69,473.0,6

Undead and Unreturnable,MaryJanice Davidson,3.88,472.0,6

The Sword of Summer,Rick Riordan,4.25,472.0,7

Self-Esteem - Self = Esteem,Justin Ho,5.0,472.0,5

Pushing the Limits,Katie McGarry,4.07,471.0,6

The Fish the Fighters and the Song-Girl,Janet E. Morris,4.62,470.0,5

The Lost Books of the Odyssey,Zachary Mason,3.93,469.0,5

The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,4.31,469.0,5

The Signature of All Things,Elizabeth Gilbert,3.84,469.0,5

The Bone Clocks,David Mitchell,3.83,468.0,6

Gone Tomorrow,Lee Child,4.18,467.0,7

Revelation,C.J. Sansom,4.34,466.0,6

Confessions of a Contractor,Richard  Murphy,3.05,466.0,5

Chosen,P.C. Cast,3.92,466.0,9

The Darkest Minds,Alexandra Bracken,4.19,466.0,6

Labyrinth,Kate Mosse,3.57,465.0,6

"The Old Has Gone, The New Is Here",Justin Ho,5.0,465.0,5

Demonglass,Rachel Hawkins,4.11,463.0,9

How To Develop A Million Dollar Mindset,Justin Ho,5.0,462.0,5

The Lonely Polygamist,Brady Udall,3.51,461.0,7

Stop Auto-Piloting,Justin Ho,5.0,461.0,5

Salem Falls,Jodi Picoult,3.82,460.0,8

Shadow of Night,Deborah Harkness,4.07,460.0,7

Fool's Errand,Robin Hobb,4.31,460.0,5

Everlasting,Alyson Noel,3.91,459.0,6

Puhdistus,Sofi Oksanen,3.88,459.0,6

Mornings in Jenin,Susan Abulhawa,4.38,459.0,6

America America,Ethan Canin,3.66,458.0,5

"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.94,458.0,6

Circe,Madeline Miller,4.28,458.0,5

Empress Orchid,Anchee Min,3.88,457.0,6

Warbreaker,Brandon Sanderson,4.26,456.0,6

"Your Skill, Your Wealth Builder",Justin Ho,5.0,453.0,5

Two Boys Kissing,David Levithan,4.09,451.0,5

The Serpent's Shadow,Rick Riordan,4.29,450.0,6

Summertime,J.M. Coetzee,3.77,448.0,6

Down River,John Hart,3.95,447.0,5

The Torah Codes,Ezra Barany,3.47,447.0,5

Gabriel's Inferno,Sylvain Reynard,4.0,446.0,6

The Sea of Tranquility,Katja Millay,4.31,445.0,6

A Wedding in December,Anita Shreve,3.1,442.0,5

The Weird Sisters,Eleanor Brown,3.36,442.0,6

The Witch of Portobello,Paulo Coelho,3.54,439.0,6

Raised by Wolves,Jennifer Lynn Barnes,3.94,439.0,6

The Underneath,Kathi Appelt,3.95,439.0,5

Special Topics in Calamity Physics,Marisha Pessl,3.71,438.0,6

Cracked Hearts,Linda Masemore Pirrung,4.25,438.0,5

Villa Incognito,Tom Robbins,3.67,437.0,5

"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,4.23,436.0,5

The Son,Philipp Meyer,4.0,436.0,6

The Scorpio Races,Maggie Stiefvater,4.09,435.0,7

Shalimar the Clown,Salman Rushdie,3.88,434.0,6

These Things Hidden,Heather Gudenkauf,3.87,434.0,5

A Brief History of Seven Killings,Marlon James,3.87,434.0,5

The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,3.68,430.0,6

Second Glance,Jodi Picoult,3.79,430.0,6

Beautiful Chaos,Kami Garcia,3.94,429.0,8

Everlost,Neal Shusterman,3.95,428.0,5

The Dying Animal,Philip Roth,3.63,428.0,5

Bloody Jack,L.A. Meyer,4.11,426.0,6

Await Your Reply,Dan Chaon,3.53,423.0,5

A Monster Calls,Patrick Ness,4.37,414.0,6

Lunar Park,Bret Easton Ellis,3.7,411.0,5

A People's History of American Empire,Howard Zinn,4.14,408.0,5

Grave Goods,Ariana Franklin,4.1,407.0,6

Dime Store Magic,Kelley Armstrong,4.08,405.0,7

Dead Beat,Jim Butcher,4.43,405.0,6

The Mysterious Flame of Queen Loana,Umberto Eco,3.36,403.0,6

The Finkler Question,Howard Jacobson,2.78,403.0,5

The One and Only Ivan,Katherine Applegate,4.24,403.0,6

The Housekeeper and the Professor,Yōko Ogawa,3.95,403.0,6

Don't Judge a Girl by Her Cover,Ally Carter,4.2,402.0,6

Catapult Soul,Brian Celio,3.95,400.0,4

Nothing to Lose,Lee Child,3.91,400.0,6

Lullabies for Little Criminals,Heather O&#39;Neill,3.98,400.0,5

Only the Good Spy Young,Ally Carter,4.29,400.0,6

Meditation on Space-Time,Leonard Seet,4.04,400.0,4

Once in a Blue Year,Michael D. Durkota,4.17,400.0,4

Everyman,Philip Roth,3.59,400.0,5

"Choosing Light: When an Earthquake Buried Me and My Family for 5 Days, I Learned to Fully Live",Viral Dalal,4.2,400.0,4

Di undici foglie,Dino Olivieri,4.17,400.0,4

The Swerve: How the World Became Modern,Stephen Greenblatt,3.85,399.0,5

Blossom in Winter,Melanie Martins,4.21,399.0,4

A Legacy of Madness: Recovering My Family from Generations of Mental Illness,Tom   Davis,3.63,398.0,4

Huey Lambert's Walking Nuclear Circus,Jonathan Culver,3.42,398.0,4

Die for Me,Amy Plum,3.99,398.0,5

Home,Marilynne Robinson,4.0,398.0,6

Nemesis,Jo Nesbø,3.97,397.0,6

Lured into Love,Melanie Martins,4.91,397.0,4

Revelations,Lindsay Anne Kendal,4.03,396.0,4

Proven Guilty,Jim Butcher,4.41,396.0,6

"Will Grayson, Will Grayson",John Green,3.78,396.0,5

Undressed,Avery Aster,3.63,396.0,4

The Violets of March,Sarah Jio,3.81,395.0,4

Platform,Michel Houellebecq,3.8,395.0,4

"Dom Wars: Rounds 1, 2, 3",Lucian Bane,3.95,395.0,4

The Immortal Coil,J. Armand,3.47,395.0,4

The Riddle,Alison Croggon,4.1,395.0,6

Between the Lines,Jodi Picoult,3.58,394.0,6

Unscrupulous,Avery Aster,3.7,394.0,4

Ten Big Ones,Janet Evanovich,4.14,393.0,5

Fresh,Dennis Sharpe,4.43,393.0,4

The Waking,Lucian Bane,3.87,392.0,4

Mindful Being,Nataša Pantović,4.74,392.0,4

Black House,Stephen King,4.01,391.0,5

Blood Red Road,Moira Young,3.92,389.0,5

Persuader,Lee Child,4.1,387.0,5

Open,Andre Agassi,4.25,387.0,4

The Lion,Nelson DeMille,4.24,386.0,5

Requiem for Humanity,Joseph Sweet,4.38,386.0,4

This Book Is Full of Spiders,David  Wong,4.26,386.0,5

The V Girl: A Coming Of Age Story,Mya Robarts,4.02,386.0,4

Shades of Grey,Jasper Fforde,4.14,384.0,5

The Hunger Angel,Herta Müller,3.89,383.0,3

Kerri's War,Stephen Douglass,4.58,383.0,4

The History of the Qurʾanic Text from Revelation to Compilation: A Comparative Study with the Old and New Testaments,Muhammad Mustafa al-ʿAzami,4.34,382.0,5

Shopaholic Ties the Knot,Sophie Kinsella,3.78,382.0,6

The Gathering,Joseph Sweet,4.64,382.0,4

Redemption,Joseph Sweet,4.44,382.0,4

Slammed,Colleen Hoover,4.27,382.0,5

The Story of the Lost Child,Elena Ferrante,4.39,382.0,5

The Falls,Joyce Carol Oates,3.58,381.0,6

The Damned: Damnation Chronicles: Book One,Joseph Sweet,3.9,381.0,4

Tallgrass,Sandra Dallas,3.87,379.0,6

Calico Jack in your Garden,Karl Wiggins,4.18,379.0,4

The Naming,Alison Croggon,4.01,379.0,6

Red Rising,Pierce Brown,4.27,378.0,5

Undead and Unemployed,MaryJanice Davidson,3.93,377.0,5

The Forever War,Dexter Filkins,4.12,376.0,4

The Accidental Time Machine,Joe Haldeman,3.7,375.0,4

The Caves: Book One - The Event,Melody Laughlin,5.0,375.0,4

The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.17,375.0,5

Solar,Ian McEwan,3.25,374.0,5

The Madonnas of Leningrad,Debra Dean,3.78,373.0,5

"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,4.25,373.0,4

The Harbingers,Joseph Sweet,4.36,373.0,4

Dogshit Saved My Life,Karl Wiggins,4.2,373.0,4

La Belle Sauvage,Philip Pullman,4.17,373.0,4

The Rebels of Ireland,Edward Rutherfurd,4.09,370.0,5

The Second Summer of the Sisterhood,Ann Brashares,3.79,370.0,6

Pachinko,Min Jin Lee,4.26,370.0,4

Cleopatra's Daughter,Michelle Moran,4.11,369.0,5

You Suck,Christopher Moore,3.83,369.0,4

Seraphina,Rachel Hartman,3.96,369.0,5

Written in My Own Heart's Blood,Diana Gabaldon,4.53,369.0,5

Tinkers,Paul Harding,3.39,369.0,5

The Sunset Limited,Cormac McCarthy,3.96,368.0,4

The Revolution: A Manifesto,Ron Paul,4.13,366.0,5

Grave Sight,Charlaine Harris,3.86,366.0,7

A Hunger Like No Other,Kresley Cole,4.19,366.0,6

One Crazy Summer,Scott McElhaney,3.79,366.0,4

The Murderer's Daughters,Randy Susan Meyers,3.69,365.0,4

Is Everyone Hanging Out Without Me?,Mindy Kaling,3.85,365.0,6

Hunger,Michael  Grant,4.03,364.0,5

Burned,Ellen Hopkins,4.25,364.0,5

The Beach House,James Patterson,3.84,363.0,6

Starcrossed,Josephine Angelini,4.07,363.0,5

Grave Mercy,Robin LaFevers,3.9,363.0,5

Airman,Eoin Colfer,4.14,362.0,4

Tithe,Holly Black,3.72,362.0,6

Faith,Jennifer Haigh,3.84,362.0,5

Gabriel's Rapture,Sylvain Reynard,4.22,362.0,4

The Enchanted,Rene Denfeld,3.96,362.0,4

1Q84 #1-2,Haruki Murakami,4.08,362.0,4

The Marriage Plot,Jeffrey Eugenides,3.44,362.0,6

Slow Man,J.M. Coetzee,3.43,361.0,5

The Child Thief,Brom,4.09,361.0,5

Moral Disorder and Other Stories,Margaret Atwood,3.63,360.0,4

The Confusion,Neal Stephenson,4.26,360.0,4

Good Grief,Lolly Winston,3.73,360.0,5

The Tea Rose,Jennifer Donnelly,4.2,360.0,4

America America,Ethan Canin,3.66,359.0,4

The System of the World,Neal Stephenson,4.32,359.0,4

Citizen: An American Lyric,Claudia Rankine,4.29,359.0,5

Testimony,Anita Shreve,3.57,357.0,4

Golden Fool,Robin Hobb,4.33,357.0,4

The Time Paradox,Eoin Colfer,4.08,356.0,4

Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.3,356.0,4

Book of a Thousand Days,Shannon Hale,3.96,354.0,6

I Will Wait for You: Eternal Bliss,Linda Masemore Pirrung,4.48,353.0,4

Mockingbird,Kathryn Erskine,4.19,353.0,4

The Last Empress,Anchee Min,3.81,353.0,5

Chronic City,Jonathan Lethem,3.52,353.0,4

Gould's Book of Fish: A Novel in Twelve Fish,Richard Flanagan,3.69,353.0,4

Six of Crows,Leigh Bardugo,4.46,353.0,5

Exit Music,Ian Rankin,4.13,352.0,5

1493: Uncovering the New World Columbus Created,Charles C. Mann,4.09,352.0,5

The Sandcastle Girls,Chris Bohjalian,3.88,352.0,4

Echo Burning,Lee Child,4.01,351.0,5

Winter Garden,Kristin Hannah,4.18,351.0,4

Five Point Someone: What Not to Do at IIT,Chetan Bhagat,3.43,351.0,4

Corpalism,Arun D. Ellis,3.4,351.0,4

Early Dawn,Catherine Anderson,4.08,351.0,4

The Starbirth Assignment: Shifter,J.M. Johnson,4.3,351.0,4

Carter Beats the Devil,Glen David Gold,4.09,350.0,4

Fates and Furies,Lauren Groff,3.57,350.0,4

The Queen of the South,Arturo Pérez-Reverte,3.93,349.0,4

Point of Retreat,Colleen Hoover,4.28,349.0,5

Imperium,Christian Kracht,3.68,348.0,4

The Complete Calvin and Hobbes,Bill Watterson,4.82,348.0,5

Defending Jacob,William Landay,3.98,348.0,5

Harry Potter and the Cursed Child: Parts One and Two,John Tiffany,3.64,348.0,5

Without Fail,Lee Child,4.15,347.0,5

Feed,Mira Grant,3.85,347.0,4

"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O&#39;Malley,4.17,346.0,5

Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,3.85,346.0,4

Imperial Life in the Emerald City: Inside Iraq's Green Zone,Rajiv Chandrasekaran,4.02,345.0,4

Paris 1919: Six Months that Changed the World,Margaret MacMillan,4.08,345.0,4

Mirror Mirror,Gregory Maguire,3.28,345.0,4

Darkly Dreaming Dexter,Jeff Lindsay,3.9,345.0,5

Summer Breeze,Catherine Anderson,4.13,345.0,4

Terrier,Tamora Pierce,4.15,345.0,6

The Shifter Dimension,J.M. Johnson,4.65,345.0,4

Caim,José Saramago,3.93,344.0,4

The Shoemaker's Wife,Adriana Trigiani,3.99,344.0,5

The Buried Giant,Kazuo Ishiguro,3.5,344.0,5

The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.36,344.0,4

Thief of Time,Terry Pratchett,4.26,344.0,4

M Is for Magic,Neil Gaiman,3.82,343.0,5

Last Night in Twisted River,John Irving,3.76,343.0,5

Shadow Team GB,J.M. Johnson,4.85,343.0,4

The Enemy,Lee Child,4.17,342.0,5

How I Live Now,Meg Rosoff,3.58,342.0,6

Silver Borne,Patricia Briggs,4.39,342.0,6

A Long Long Way,Sebastian Barry,4.14,341.0,4

Champion,Marie Lu,4.35,341.0,5

My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,4.06,341.0,5

Chasing Vermeer,Blue Balliett,3.72,339.0,6

The Forest of Hands and Teeth,Carrie Ryan,3.59,339.0,5

Playing with Fire,Derek Landy,4.31,339.0,5

Eating Stone: Imagination and the Loss of the Wild,Ellen Meloy,4.11,339.0,4

13 Little Blue Envelopes,Maureen Johnson,3.64,338.0,6

Please Look After Mom,Shin Kyung-sook,3.81,338.0,5

Magic Bleeds,Ilona Andrews,4.46,337.0,5

Men of the Otherworld,Kelley Armstrong,4.26,336.0,5

Logicomix: An Epic Search for Truth,Apostolos K. Doxiadis,4.03,336.0,4

"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,4.39,335.0,4

Stray,Rachel Vincent,3.78,335.0,5

Into the Darkest Corner,Elizabeth Haynes,4.09,335.0,4

Memory of Water,Emmi Itäranta,3.71,335.0,4

The 1963 Assassination of President Trump,G.B. Hope,4.34,335.0,4

Long Lost,Harlan Coben,3.97,333.0,4

Specials,Scott Westerfeld,3.77,333.0,6

Furies of Calderon,Jim Butcher,4.12,333.0,4

Say You're One of Them,Uwem Akpan,3.52,333.0,6

The Secret of the Nagas,Amish Tripathi,4.04,332.0,4

Bartleby &amp; Co.,Enrique Vila-Matas,3.96,331.0,4

Pines,Blake Crouch,3.91,331.0,4

The Faceless Ones,Derek Landy,4.4,331.0,4

Danse Macabre,Laurell K. Hamilton,3.82,329.0,6

Every Day,David Levithan,3.95,329.0,4

Abandon,Meg Cabot,3.69,328.0,4

Columbine,Dave Cullen,4.29,328.0,5

A Murderous Procession,Ariana Franklin,4.11,327.0,5

Catherine the Great: Portrait of a Woman,Robert K. Massie,3.91,326.0,7

Dark Days,Derek Landy,4.44,326.0,4

The Dog Stars,Peter Heller,3.92,326.0,5

Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.13,325.0,4

Await Your Reply,Dan Chaon,3.53,325.0,4

Playing for Keeps,R.L. Mathewson,4.06,325.0,4

"The Walking Dead, Compendium 1",Robert Kirkman,4.43,325.0,5

The Good Lord Bird,James   McBride,3.78,325.0,4

The Mysterious Howling,Maryrose Wood,3.92,323.0,4

Surface Detail,Iain M. Banks,4.25,323.0,5

Wishful Drinking,Carrie Fisher,3.79,322.0,5

Crooked Kingdom,Leigh Bardugo,4.6,322.0,4

Oracle Night,Paul Auster,3.78,321.0,4

The Gate House,Nelson DeMille,3.75,320.0,4

Ancillary Justice,Ann Leckie,3.98,320.0,4

A Memory of Light,Robert Jordan,4.52,320.0,4

Blackwater: The Rise of the World's Most Powerful Mercenary Army,Jeremy Scahill,3.82,319.0,4

A Wolf at the Table,Augusten Burroughs,3.73,318.0,4

The Dream of Scipio,Iain Pears,3.73,318.0,4

Smile,Raina Telgemeier,4.24,318.0,4

Pride,Rachel Vincent,4.15,317.0,5

Goliath,Scott Westerfeld,4.25,317.0,4

Keeping You a Secret,Julie Anne Peters,3.95,317.0,5

Last Argument of Kings,Joe Abercrombie,4.28,317.0,4

The Well of Lost Plots,Jasper Fforde,4.1,317.0,5

The Ill-Made Mute,Cecilia Dart-Thornton,3.73,316.0,4

The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,4.13,316.0,4

The Last Letter from Your Lover,Jojo Moyes,3.96,316.0,5

The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,A.J. Jacobs,3.76,315.0,4

Tempted,P.C. Cast,3.96,315.0,7

Undead and Uneasy,MaryJanice Davidson,3.89,315.0,4

"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95,315.0,4

The Diviners,Libba Bray,3.97,315.0,5

The Girl With All the Gifts,M.R. Carey,3.94,315.0,4

Wings,Aprilynne Pike,3.75,314.0,5

Trickster's Queen,Tamora Pierce,4.28,313.0,5

Fair Game,Patricia Briggs,4.35,313.0,5

The Long Earth,Terry Pratchett,3.76,313.0,4

The Retribution of Mara Dyer,Michelle Hodkin,4.1,312.0,4

Napoleon: A Life,Andrew Roberts,4.25,311.0,4

Death in Holy Orders,P.D. James,3.92,310.0,5

Stolen: A Letter to My Captor,Lucy Christopher,3.92,310.0,4

Before They Are Hanged,Joe Abercrombie,4.29,309.0,4

Found,Margaret Peterson Haddix,3.98,309.0,4

Dark Flame,Alyson Noel,3.73,308.0,4

A Rule Against Murder,Louise Penny,4.2,308.0,4

Four: A Divergent Story Collection,Veronica Roth,4.05,308.0,5

The Garden of Evening Mists,Tan Twan Eng,4.11,307.0,4

F,Daniel Kehlmann,3.66,307.0,4

The Killing Kind,John Connolly,4.23,306.0,4

When She Woke,Hillary Jordan,3.67,306.0,5

In Too Deep,Jude Watson,4.03,305.0,5

The Cruelest Month,Louise Penny,4.15,305.0,4

Midnight Riot,Ben Aaronovitch,3.89,305.0,5

Cross Bones,Kathy Reichs,3.88,304.0,4

Defiance,C.J. Redwine,3.67,304.0,4

"Saga, Vol. 2",Brian K. Vaughan,4.54,303.0,4

The Wild Trees: A Story of Passion and Daring,Richard   Preston,4.09,301.0,4

Open City,Teju Cole,3.5,301.0,4

Dangerous Laughter,Steven Millhauser,3.81,300.0,3

Number 13,M.G. Wells,4.13,300.0,3

Enjambre Sutil,Jose Dellepiane,4.73,300.0,3

Goblinheart,Brett Axel,4.44,300.0,3

The Mary Smokes Boys,Patrick Holland,3.39,300.0,3

"Nocturne, Opus 1: Sea Foam",Norene Moskalski,3.84,300.0,3

A Deal With God: The Power of One,Michael Haden,3.95,300.0,3

In Search of Captain Zero: A Surfer's Road Trip beyond the End of the Road,Allan C. Weisbecker,3.89,300.0,3

Mirage Beyond Flames,Melinda De Ross,4.42,300.0,3

The Founder's Curse,Danelle O&#39;Donnell,4.17,300.0,3

Politixworks,Chuck U. Farlie,4.79,300.0,3

Haunted Tree,Scott Robert Scheller,3.78,300.0,3

Kazungul: Blood Ties - Awakening of the Ancestral Curse,Marcus L. Lukusa,4.32,300.0,3

The Kafir Project,Lee Burvine,4.02,300.0,3

Conscious Creativity Mindfulness Meditations,Nataša Pantović,4.52,300.0,3

The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,4.43,300.0,3

The Divinity Bureau,Tessa Clare,4.0,300.0,3

ساعت‌ها,Behrouz Hosseini,3.66,300.0,3

"The Creation of Me, Them and Us",Heather  Marsh,5.0,300.0,3

The Island,Victoria Hislop,4.03,299.0,4

Cemetery Street,John Zunski,4.19,299.0,3

River of Gods,Ian McDonald,3.91,299.0,4

Witch in the Woods,Taylor Ann Bunker,3.73,299.0,3

The Harem,Thomas Sweeney,4.2,299.0,3

Wraith,James R. Hannibal,4.03,299.0,3

Nightwatching,John Zunski,3.74,298.0,3

We the Animals,Justin Torres,3.67,298.0,3

Poseidon’s Children,Michael  West,3.47,298.0,3

The Longest Ride,Nicholas Sparks,4.15,298.0,3

Noughts &amp; Crosses,Malorie Blackman,4.23,298.0,4

Abigail and the Jungle Adventure,Tali Carmi,4.4,298.0,3

Liliana,Neva Squires-Rodriguez,3.72,298.0,3

Shadow Catcher,James R. Hannibal,3.91,298.0,3

The Girl with Ghost Eyes,M.H. Boroson,3.89,298.0,3

Torment,Lindsay Anne Kendal,3.96,297.0,3

Mid Ocean,T. Rafael Cimino,3.96,297.0,3

Lionheart,Sharon Kay Penman,4.1,297.0,4

2312,Kim Stanley Robinson,3.45,297.0,4

Shadow Country,Peter Matthiessen,4.04,297.0,3

Perfect Timing,Catherine Anderson,4.12,297.0,3

Just Around The Bend: Más o Menos,Renée Paule,4.49,297.0,3

Rules for Old Men Waiting,Peter R. Pouncey,3.71,296.0,3

The Wide Game,Michael  West,3.88,296.0,3

The Eagle's Secret,Erez Aharoni,3.95,296.0,3

The Genetic Lottery,Allison Goh,3.72,296.0,3

On the Other Hand: The Little Anthology of Big Questions,Renée Paule,4.52,296.0,3

The Gum Thief,Douglas Coupland,3.5,296.0,4

Conscious Parenting: Mindful Living Course for Parents,Nataša Pantović,4.39,296.0,3

Call Me By Your Name,André Aciman,4.26,295.0,3

In the Shadow of the Banyan,Vaddey Ratner,4.05,295.0,3

Carly,D.M. Wolfenden,4.41,295.0,3

The Cadaver Factory,Kenneth Jarrett Singleton,4.35,295.0,3

Moore's Mythopoeia,Christopher WunderLee,4.33,294.0,3

Spook House,Michael  West,3.81,294.0,3

Shadow Maker,James R. Hannibal,4.16,294.0,3

A Three Course Meal for the Mind,Renée Paule,4.47,294.0,3

The Cross of Lead,Avi,3.62,293.0,3

"Started Early, Took My Dog",Kate Atkinson,3.92,293.0,4

The Rose Garden,Susanna Kearsley,4.03,293.0,4

Still Life With Psychotic Squirrel,C.B. Smith,3.57,292.0,3

Stranger Things Happen,Kelly Link,3.83,292.0,3

The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.16,292.0,3

"The Anthropology of Turquoise: Meditations on Landscape, Art, and Spirit",Ellen Meloy,4.04,292.0,3

Trust Trilogy,Cristiane Serruya,4.05,292.0,3

Dark Triumph,Robin LaFevers,4.14,292.0,4

The Zookeeper's Wife,Diane Ackerman,3.46,291.0,4

Skull Full of Kisses,Michael  West,4.16,290.0,3

Lone Wolf Rising,Jami Brumfield,3.7,290.0,3

Proxima,Stephen Baxter,3.81,290.0,3

The Miniaturist,Jessie Burton,3.6,290.0,4

Hide,Lisa Gardner,4.16,289.0,4

Magic Slays,Ilona Andrews,4.43,289.0,4

The Abstinence Teacher,Tom Perrotta,3.25,289.0,4

The Reading Promise: My Father and the Books We Shared,Alice Ozma,3.67,289.0,4

Sensual Desires,James Sillwood,4.64,289.0,3

Black Order,James Rollins,4.14,289.0,3

Eating Animals,Jonathan Safran Foer,4.2,289.0,3

The Van Alen Legacy,Melissa de la Cruz,3.95,288.0,4

When God Was a Rabbit,Sarah Winman,3.7,288.0,3

Clandestine Liaisons,James Sillwood,4.62,288.0,3

Wildwood Shadows,Scott McElhaney,4.38,288.0,3

"Love, Rosie",Cecelia Ahern,3.94,288.0,3

Bad Luck and Trouble,Lee Child,4.18,287.0,4

Theodore Rex,Edmund Morris,4.19,287.0,4

An Ordinary Man: An Autobiography,Paul Rusesabagina,4.16,287.0,3

The Girl Who Saved the King of Sweden,Jonas Jonasson,3.76,287.0,3

Dragon Eaters,Janet E. Morris,4.58,287.0,3

Europeana: A Brief History of the Twentieth Century,Patrik Ouředník,4.11,286.0,3

"Debt: The First 5,000 Years",David Graeber,4.16,286.0,4

Easy,Tammara Webber,4.09,286.0,5

The Judas Strain,James Rollins,4.15,286.0,3

A Reliable Wife,Robert Goolrick,3.26,285.0,4

Vestige,Scott McElhaney,3.78,285.0,3

How We Are Hungry,Dave Eggers,3.75,284.0,4

Allah's Miracles in the Qur'an,Harun Yahya,4.12,284.0,3

Robert A. Heinlein: In Dialogue with His Century: Volume 1,William H. Patterson Jr.,4.15,284.0,3

The Given Day,Dennis Lehane,4.05,284.0,3

Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,4.35,284.0,3

The Trouble with Playing Cupid,Tamara Philip,3.98,284.0,3

Family Matters,Rohinton Mistry,4.02,284.0,3

Dans le café de la jeunesse perdue,Patrick Modiano,3.51,284.0,3

"Something, Maybe",Elizabeth Scott,3.72,283.0,3

The Smoke Jumper,Nicholas Evans,4.06,283.0,4

A Thread of Grace,Mary Doria Russell,4.02,283.0,4

"The Soloist: A Lost Dream, an Unlikely Friendship, and the Redemptive Power of Music",Steve López,3.9,283.0,3

In Harm's Way: The Sinking of the USS Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,4.3,282.0,3

The Noble Life of The Prophet ﷺ,"محمد علي الصلابي, Ali Muhammad Al-Salaabi",4.39,282.0,4

Blue Moon,Alyson Noel,3.61,282.0,4

Through Black Spruce,Joseph Boyden,4.12,282.0,3

Career of Evil,Robert Galbraith,4.21,282.0,4

Lilac Girls,Martha Hall Kelly,4.29,282.0,3

What Alice Forgot,Liane Moriarty,4.08,281.0,3

Rise to Rebellion,Jeff Shaara,4.18,280.0,3

Angelfall,Susan Ee,4.15,280.0,3

Frelseren,Jo Nesbø,4.08,280.0,4

